millis;gps_time;lat;lon;alt;sats;fixq
63410;144502;4757.79748N;01331.83175E;583.3;5;1
64471;144503;4757.79734N;01331.83298E;581.7;5;1
64542;144503;4757.79730N;01331.83329E;581.7;5;1
64657;144503;4757.79730N;01331.83329E;581.2;5;1
64727;144503;4757.79727N;01331.83348E;581.2;5;1
64841;144503;4757.79727N;01331.83348E;581;5;1
64913;144503;4757.79725N;01331.83372E;581;5;1
65019;144503;4757.79722N;01331.83391E;581;5;1
65134;144503;4757.79722N;01331.83391E;580.5;5;1
65427;144504;4757.79719N;01331.83422E;580.1;5;1
65552;144504;4757.79717N;01331.83439E;580.1;5;1
65660;144504;4757.79714N;01331.83454E;580.1;5;1
65775;144504;4757.79714N;01331.83454E;579.8;5;1
65847;144504;4757.79713N;01331.83459E;579.8;5;1
65959;144504;4757.79713N;01331.83459E;579.7;5;1
66031;144504;4757.79712N;01331.83461E;579.7;5;1
66146;144504;4757.79712N;01331.83461E;579.7;5;1
66215;144504;4757.79711N;01331.83466E;579.7;5;1
66402;144504;4757.79710N;01331.83466E;579.7;5;1
66508;144504;4757.79709N;01331.83465E;579.7;5;1
66617;144504;4757.79705N;01331.83471E;579.7;5;1
66838;144505;4757.79706N;01331.83475E;579.7;5;1
66963;144505;4757.79701N;01331.83494E;579.7;5;1
67078;144505;4757.79701N;01331.83494E;579.5;5;1
67149;144505;4757.79698N;01331.83513E;579.5;5;1
67256;144505;4757.79695N;01331.83545E;579.5;5;1
67373;144505;4757.79695N;01331.83545E;578.9;5;1
67442;144505;4757.79688N;01331.83576E;578.9;5;1
67557;144505;4757.79688N;01331.83576E;578.5;5;1
67627;144505;4757.79683N;01331.83611E;578.5;5;1
67735;144505;4757.79677N;01331.83646E;578.5;5;1
67842;144505;4757.79672N;01331.83682E;578.5;5;1
67913;144505;4757.79668N;01331.83715E;578.5;5;1
68020;144505;4757.79663N;01331.83740E;578.5;5;1
72882;144510;4757.79657N;01331.83884E;575.6;5;1
74414;144510;4757.79654N;01331.83911E;575.6;5;1
74520;144510;4757.79653N;01331.83912E;575.6;5;1
74627;144510;4757.79654N;01331.83913E;575.6;5;1
74698;144510;4757.79652N;01331.83921E;575.6;5;1
74805;144510;4757.79652N;01331.83920E;575.6;5;1
75313;144511;4757.79649N;01331.83949E;574.9;6;1
75382;144511;4757.79648N;01331.83954E;574.9;6;1
75489;144511;4757.79647N;01331.83964E;574.9;6;1
75597;144511;4757.79645N;01331.83970E;574.9;6;1
75704;144511;4757.79646N;01331.83975E;574.9;6;1
75776;144511;4757.79645N;01331.83981E;574.9;6;1
75882;144511;4757.79644N;01331.83988E;574.9;6;1
76533;144512;4757.79637N;01331.84050E;573.6;6;1
76605;144512;4757.79634N;01331.84067E;573.6;6;1
76675;144512;4757.79632N;01331.84083E;573.6;6;1
76781;144512;4757.79631N;01331.84093E;573.6;6;1
80566;144516;4757.79629N;01331.84163E;572.3;6;1
80637;144516;4757.79629N;01331.84161E;572.3;6;1
80707;144516;4757.79630N;01331.84163E;572.3;6;1
80822;144516;4757.79630N;01331.84163E;572.3;6;1
80893;144516;4757.79631N;01331.84160E;572.3;6;1
81541;144517;4757.79634N;01331.84153E;572.5;6;1
81612;144517;4757.79636N;01331.84149E;572.5;6;1
81719;144517;4757.79636N;01331.84146E;572.5;6;1
81827;144517;4757.79637N;01331.84142E;572.5;6;1
88037;144524;4757.79664N;01331.84027E;574.6;6;1
88139;144524;4757.79663N;01331.84029E;574.6;6;1
88248;144524;4757.79664N;01331.84030E;574.6;6;1
88354;144524;4757.79664N;01331.84034E;574.6;6;1
88532;144524;4757.79665N;01331.84042E;574.6;6;1
89401;144524;4757.79665N;01331.84043E;574.6;6;1
90017;144526;4757.79665N;01331.84049E;574.1;6;1
90087;144526;4757.79665N;01331.84047E;574.1;6;1
90195;144526;4757.79666N;01331.84050E;574.1;6;1
90302;144526;4757.79666N;01331.84048E;574.1;6;1
