millis;micros;d1;d2;accx;accy;accz;hgx;hgy;hgz;gyrox;gyroy;gyroz
12255;12256320;6378976;8420320;-0.06;1.052;-0.272;0.164;0.5125;-0.164;-1;-1;-1
12267;12267632;6385120;8420320;-0.056;1.048;-0.26;0.1845;0.4715;-0.123;-1;-1;-1
12279;12279888;6383584;8420320;-0.052;1.044;-0.288;0.1435;0.533;-0.082;-1;-1;-1
12290;12290360;6387680;8420320;-0.052;1.036;-0.268;0.1435;0.615;0.041;-1;-1;-1
12302;12302536;6386144;8420320;-0.068;1.072;-0.296;0.1845;0.492;-0.1025;-1;-1;-1
12314;12314704;6380512;8420320;-0.064;1.048;-0.24;0.2255;0.3895;-0.041;-1;-1;-1
12326;12327752;6383584;8420320;-0.06;1.052;-0.284;0.1435;0.533;-0.123;-1;-1;-1
12337;12337328;6386144;8420320;-0.068;1.036;-0.324;0.1845;0.492;-0.1025;-1;-1;-1
12349;12349536;6380512;8420320;-0.052;1.048;-0.28;0.164;0.5125;-0.082;-1;-1;-1
12361;12362616;6384608;8431072;-0.056;1.036;-0.28;0.2255;0.492;-0.1435;-1;-1;-1
12374;12374824;6381024;8431072;-0.056;1.048;-0.276;0.1435;0.451;-0.164;-1;-1;-1
12386;12387024;6383072;8431072;-0.052;1.052;-0.288;0.1435;0.533;-0.0615;-1;-1;-1
12398;12399216;6384096;8431072;-0.052;1.04;-0.276;0.164;0.451;-0.164;-1;-1;-1
12410;12411424;6382560;8431072;-0.06;1.044;-0.276;0.1025;0.5535;-0.164;-1;-1;-1
12421;12421856;6387680;8431072;-0.06;1.04;-0.288;0.164;0.5125;0.0205;-1;-1;-1
12433;12434064;6386144;8431072;-0.044;1.06;-0.276;0.205;0.3895;-0.1435;-1;-1;-1
12445;12446272;6384608;8431072;-0.06;1.056;-0.268;0.164;0.5125;-0.1845;-1;-1;-1
12457;12458480;6383072;8431072;-0.052;1.04;-0.288;0.1435;0.5125;-0.123;-1;-1;-1
12468;12468936;6383072;8437728;-0.06;1.052;-0.288;0.164;0.533;-0.1435;-1;-1;-1
